z,volumeWeightedAvg
2.795527000000000081e-02,9.787274904100254913e-01
2.802472500000000033e-02,9.786801526975601462e-01
2.809417999999999985e-02,9.786328098227694561e-01
2.816363499999999936e-02,9.785854747195629200e-01
2.823308500000000151e-02,9.785381409234927830e-01
2.830254000000000103e-02,9.784908018024227605e-01
2.837199500000000055e-02,9.784434703466464711e-01
2.844145000000000006e-02,9.783961336539375164e-01
2.851090499999999958e-02,9.783488045971351355e-01
2.858035999999999910e-02,9.783014703593596595e-01
2.864981499999999862e-02,9.782541438447018844e-01
2.871926500000000076e-02,9.782068186178262126e-01
2.878872000000000028e-02,9.781594880546008453e-01
2.885817499999999980e-02,9.781121651345813239e-01
2.892762999999999932e-02,9.780648369787909857e-01
2.899708499999999883e-02,9.780175165105792212e-01
2.906653500000000098e-02,9.779701972954063516e-01
2.913599000000000050e-02,9.779228727444234659e-01
2.920544500000000002e-02,9.778755558625372712e-01
2.927489999999999953e-02,9.778282337532130386e-01
2.934435499999999905e-02,9.777809193288384826e-01
2.941380500000000120e-02,9.777336061032779746e-01
2.948326000000000072e-02,9.776862875066162362e-01
2.955271500000000023e-02,9.776389765447186520e-01
2.962216999999999975e-02,9.775916603486590750e-01
2.969162499999999927e-02,9.775443518768731632e-01
2.976107500000000142e-02,9.774970446145407887e-01
2.983053000000000093e-02,9.774497319877794022e-01
2.989998500000000045e-02,9.774024269494443473e-01
2.996943999999999997e-02,9.773551166268732437e-01
3.003889499999999949e-02,9.773078139146045284e-01
3.010834999999999900e-02,9.772605059576462416e-01
3.017780499999999852e-02,9.772132057054421228e-01
3.024725500000000067e-02,9.771659066794172732e-01
3.031671000000000019e-02,9.771186022751017219e-01
3.038616499999999970e-02,9.770713054586659396e-01
3.045561999999999922e-02,9.770240033555533943e-01
3.052507499999999874e-02,9.769767089309793207e-01
3.059452500000000089e-02,9.769294157138938006e-01
3.066398000000000040e-02,9.768821171630873712e-01
3.073343499999999992e-02,9.768348262382338110e-01
3.080288999999999944e-02,9.767875300460634458e-01
3.087234499999999895e-02,9.767402415221674294e-01
3.094179500000000110e-02,9.766929541494090428e-01
3.101125000000000062e-02,9.766456614216036947e-01
3.108070500000000014e-02,9.765983763012177077e-01
3.115015999999999965e-02,9.765510859479061834e-01
3.121961499999999917e-02,9.765038032942089385e-01
3.128906499999999785e-02,9.764565218064983343e-01
3.135852000000000084e-02,9.764092349574239327e-01
3.142797499999999689e-02,9.763619556593851057e-01
3.149742999999999987e-02,9.763146711078782847e-01
3.156688500000000286e-02,9.762673941710457992e-01
3.163633999999999891e-02,9.762201120005570276e-01
3.170579500000000189e-02,9.761728375484850506e-01
3.177524500000000057e-02,9.761255642820722001e-01
3.184469999999999662e-02,9.760782856539068630e-01
3.191415499999999961e-02,9.760310145893709155e-01
3.198361000000000259e-02,9.759837382535332395e-01
3.205306499999999864e-02,9.759364696101733294e-01
3.212251499999999732e-02,9.758892021753435841e-01
3.219197000000000031e-02,9.758419294376201591e-01
3.226142500000000329e-02,9.757946643013162280e-01
3.233087999999999934e-02,9.757473939310813416e-01
3.240033500000000233e-02,9.757001312342153954e-01
3.246978500000000101e-02,9.756528697258316507e-01
3.253923999999999706e-02,9.756056029122697204e-01
3.260869500000000004e-02,9.755583437041226436e-01
3.267815000000000303e-02,9.755110793121332113e-01
3.274760499999999908e-02,9.754638226092415820e-01
3.281705499999999776e-02,9.754165670938800270e-01
3.288651000000000074e-02,9.753693062465002006e-01
3.295596499999999679e-02,9.753220529624702095e-01
3.302541999999999978e-02,9.752747944853822348e-01
3.309487500000000276e-02,9.752275436303899925e-01
3.316432999999999881e-02,9.751802875958794914e-01
3.323378500000000180e-02,9.751330392892708643e-01
3.330323500000000048e-02,9.750857921912151616e-01
3.337269000000000346e-02,9.750385397797958209e-01
3.344214499999999951e-02,9.749912949500726400e-01
3.351160000000000250e-02,9.749440449319334290e-01
3.358105499999999854e-02,9.748968026388905583e-01
3.365050499999999722e-02,9.748495616067001102e-01
3.371996000000000021e-02,9.748023153142867381e-01
3.378941500000000320e-02,9.747550766255801413e-01
3.385886999999999925e-02,9.747078327455618307e-01
3.392832500000000223e-02,9.746605965481440759e-01
3.399777500000000091e-02,9.746133616035560499e-01
3.406722999999999696e-02,9.745661213970773229e-01
3.413668499999999995e-02,9.745188888539398908e-01
3.420614000000000293e-02,9.744716511988468222e-01
3.427559499999999898e-02,9.744244212594235233e-01
3.434504499999999766e-02,9.743771925882979135e-01
3.441450000000000065e-02,9.743299586303739712e-01
3.448395499999999669e-02,9.742827323176774801e-01
3.455340999999999968e-02,9.742355008876004696e-01
3.462286500000000267e-02,9.741882771226534343e-01
3.469231999999999871e-02,9.741410482538161997e-01
3.476177500000000170e-02,9.740938271337058474e-01
3.483122500000000038e-02,9.740466072969720113e-01
3.490068000000000337e-02,9.739993822078991670e-01
3.497013499999999941e-02,9.739521647812429128e-01
3.503959000000000240e-02,9.739049422703230929e-01
3.510904499999999845e-02,9.738577275436507419e-01
3.517849499999999713e-02,9.738105141705111212e-01
3.524795000000000011e-02,9.737632955750438191e-01
3.531740500000000310e-02,9.737160846563767125e-01
3.538685999999999915e-02,9.736688686263723636e-01
3.545631500000000214e-02,9.736216603419243221e-01
3.552576500000000082e-02,9.735744534109939119e-01
3.559521999999999686e-02,9.735272412821802668e-01
3.566467499999999985e-02,9.734800368978536733e-01
3.573413000000000284e-02,9.734328274551725668e-01
3.580358499999999888e-02,9.733856257978978910e-01
3.587303499999999756e-02,9.733384254967086813e-01
3.594249000000000055e-02,9.732912199797529862e-01
3.601194499999999660e-02,9.732440222215680281e-01
3.608139999999999958e-02,9.731968194210687262e-01
3.615085500000000257e-02,9.731496243899154797e-01
3.622030999999999862e-02,9.731024243456400935e-01
3.628976500000000160e-02,9.730552321123022708e-01
3.635921500000000028e-02,9.730080412610594420e-01
3.642867000000000327e-02,9.729608452319781220e-01
3.649812499999999932e-02,9.729136569771394960e-01
3.656758000000000230e-02,9.728664637255193259e-01
3.663703499999999835e-02,9.728192783439225666e-01
3.670648499999999703e-02,9.727720944051564400e-01
3.677594000000000002e-02,9.727249053161208803e-01
3.684539500000000301e-02,9.726777240162183258e-01
3.691484999999999905e-02,9.726305376955154403e-01
3.698430500000000204e-02,9.725833592522915572e-01
3.705375500000000072e-02,9.725361822783644694e-01
3.712320999999999677e-02,9.724890002089530139e-01
3.719266499999999975e-02,9.724418259978213630e-01
3.726212000000000274e-02,9.723946467963048290e-01
3.733157499999999879e-02,9.723474754859982028e-01
3.740102499999999747e-02,9.723003056255041798e-01
3.747048000000000045e-02,9.722531306699144782e-01
3.753993500000000344e-02,9.722059635913674613e-01
3.760938999999999949e-02,9.721587915724051454e-01
3.767884500000000247e-02,9.721116274424963510e-01
3.774829999999999852e-02,9.720644583818941475e-01
3.781775500000000151e-02,9.720172972493812402e-01
3.788720500000000019e-02,9.719701376187336317e-01
3.795666000000000317e-02,9.719229729357329317e-01
3.802611499999999922e-02,9.718758161653037186e-01
3.809557000000000221e-02,9.718286545040598634e-01
3.816502499999999826e-02,9.717815008367710616e-01
3.823447499999999694e-02,9.717343487037261029e-01
3.830392999999999992e-02,9.716871915408443749e-01
3.837338500000000291e-02,9.716400422897107925e-01
3.844283999999999896e-02,9.715928881405432316e-01
3.851229500000000194e-02,9.715457420196331739e-01
3.858174500000000062e-02,9.714985974762855303e-01
3.865119999999999667e-02,9.714514479731489738e-01
3.872065499999999966e-02,9.714043064338424571e-01
3.879011000000000264e-02,9.713571600199544243e-01
3.885956499999999869e-02,9.713100216386689745e-01
3.892901499999999737e-02,9.712628848197819575e-01
3.899847000000000036e-02,9.712157430663844737e-01
3.906792500000000334e-02,9.711686093170396328e-01
3.913737999999999939e-02,9.711214707607965790e-01
3.920683500000000238e-02,9.710743402183219519e-01
3.927628999999999843e-02,9.710272048559792646e-01
3.934574500000000141e-02,9.709800775615107238e-01
3.941519500000000009e-02,9.709329518855457364e-01
3.948465000000000308e-02,9.708858213164253126e-01
3.955410499999999913e-02,9.708386987920334388e-01
3.962356000000000211e-02,9.707915715098942577e-01
3.969301499999999816e-02,9.707444523670958336e-01
3.976246499999999684e-02,9.706973348703207272e-01
3.983191999999999983e-02,9.706502125051057472e-01
3.990137500000000281e-02,9.706030981887913134e-01
3.997082999999999886e-02,9.705559791426090488e-01
4.004028500000000185e-02,9.705088682781634057e-01
4.010973500000000053e-02,9.704617591235533691e-01
4.017918999999999657e-02,9.704146451777572180e-01
