z,volumeWeightedAvg
1.767606500000000122e-02,9.857544801225196496e-01
1.774552000000000074e-02,9.857067647152307766e-01
1.781497500000000025e-02,9.856590612526683337e-01
1.788442999999999977e-02,9.856113567672790676e-01
1.795388499999999929e-02,9.855636641263860742e-01
1.802333500000000144e-02,9.855159767328461884e-01
1.809279000000000096e-02,9.854682879156300146e-01
1.816224500000000047e-02,9.854206106466527615e-01
1.823169999999999999e-02,9.853729319784612084e-01
1.830115499999999951e-02,9.853252647934515052e-01
1.837060500000000166e-02,9.852776025302648621e-01
1.844006000000000117e-02,9.852299384509697333e-01
1.850951500000000069e-02,9.851822855207813534e-01
1.857897000000000021e-02,9.851346307844410788e-01
1.864842499999999972e-02,9.850869871549583490e-01
1.871787499999999840e-02,9.850393481345939284e-01
1.878733000000000139e-02,9.849917070082511161e-01
1.885678500000000091e-02,9.849440767688323328e-01
1.892624000000000042e-02,9.848964444055601231e-01
1.899569499999999994e-02,9.848488227997957978e-01
1.906514499999999862e-02,9.848012054345638422e-01
1.913460000000000161e-02,9.847535856193779802e-01
1.920405500000000112e-02,9.847059764037466856e-01
1.927351000000000064e-02,9.846583647924073146e-01
1.934296500000000016e-02,9.846107636260726936e-01
1.941241999999999968e-02,9.845631599445872073e-01
1.948187499999999919e-02,9.845155666137018757e-01
1.955132500000000134e-02,9.844679771275298696e-01
1.962078000000000086e-02,9.844203848142851765e-01
1.969023500000000038e-02,9.843728026997515812e-01
1.975968999999999989e-02,9.843252178361842075e-01
1.982914499999999941e-02,9.842776431298738693e-01
1.989859500000000156e-02,9.842300720409787873e-01
1.996805000000000108e-02,9.841824978537584423e-01
2.003750500000000059e-02,9.841349335902164208e-01
2.010696000000000011e-02,9.840873662742117833e-01
2.017641499999999963e-02,9.840398088731414639e-01
2.024586499999999831e-02,9.839922548739644670e-01
2.031532000000000129e-02,9.839446975879561075e-01
2.038477500000000081e-02,9.838971500290001337e-01
2.045423000000000033e-02,9.838495991794523610e-01
2.052368499999999985e-02,9.838020579976743951e-01
2.059313499999999852e-02,9.837545199596253731e-01
2.066259000000000151e-02,9.837069784436803799e-01
2.073204500000000103e-02,9.836594464824600648e-01
2.080150000000000055e-02,9.836119110832689527e-01
2.087095500000000006e-02,9.835643851272781735e-01
2.094040999999999958e-02,9.835168556215033719e-01
2.100986499999999910e-02,9.834693354917920516e-01
2.107931500000000125e-02,9.834218182386451623e-01
2.114877000000000076e-02,9.833742972301799945e-01
2.121822500000000028e-02,9.833267855072586050e-01
2.128767999999999980e-02,9.832792700952319720e-01
2.135713499999999931e-02,9.832317639546923616e-01
2.142658500000000146e-02,9.831842605176231986e-01
2.149604000000000098e-02,9.831367531358404799e-01
2.156549500000000050e-02,9.830892548339392745e-01
2.163495000000000001e-02,9.830417526570407460e-01
2.170440499999999953e-02,9.829942596082287265e-01
2.177385500000000168e-02,9.829467691287753217e-01
2.184331000000000120e-02,9.828992745996093516e-01
2.191276500000000071e-02,9.828517889843687572e-01
2.198222000000000023e-02,9.828042993066258282e-01
2.205167499999999975e-02,9.827568185625549235e-01
2.212112499999999843e-02,9.827093402038066250e-01
2.219058000000000141e-02,9.826618576814856176e-01
2.226003500000000093e-02,9.826143839661058976e-01
2.232949000000000045e-02,9.825669061195174692e-01
2.239894499999999997e-02,9.825194370099209484e-01
2.246839999999999948e-02,9.824719636634132724e-01
2.253785499999999900e-02,9.824244990642795328e-01
2.260730500000000115e-02,9.823770366844845059e-01
2.267676000000000067e-02,9.823295699575597117e-01
2.274621500000000018e-02,9.822821118693928488e-01
2.281566999999999970e-02,9.822346494667800743e-01
2.288512499999999922e-02,9.821871957161502076e-01
2.295457500000000137e-02,9.821397440221631969e-01
2.302403000000000088e-02,9.820922878301597825e-01
2.309348500000000040e-02,9.820448401146038009e-01
2.316293999999999992e-02,9.819973879941283901e-01
2.323239499999999944e-02,9.819499444559465218e-01
2.330184500000000158e-02,9.819025029314416564e-01
2.337130000000000110e-02,9.818550568589787808e-01
2.344075500000000062e-02,9.818076191453067869e-01
2.351021000000000014e-02,9.817601769102516363e-01
2.357966499999999965e-02,9.817127431006976712e-01
2.364911499999999833e-02,9.816653111932184261e-01
2.371857000000000132e-02,9.816178746591863735e-01
2.378802500000000084e-02,9.815704464079620939e-01
2.385748000000000035e-02,9.815230135774981601e-01
2.392693499999999987e-02,9.814755889791828558e-01
2.399638999999999939e-02,9.814281597139499214e-01
2.406584499999999890e-02,9.813807387616838573e-01
2.413529500000000105e-02,9.813333195986778668e-01
